MobileSite,MobileDate,MobileTime,MobileUTM_X,MobileUTM_Y,MobileTagType,TAG,MobileAnt,MobileEvent,MobilePass
Shorefox,10/19/2020,11:21:00 AM,419631.63,4440122.31,HA,900230000228590,M1,Detection,1
Shorefox,10/19/2020,12:22:00 PM,419318.29,4440049.71,HA,900230000228592,M1,Detection,1
Shorefox,10/19/2020,12:39:00 PM,418891.04,4439950.7,HA,900230000228618,M1,Detection,1
Shorefox,10/19/2020,12:41:00 PM,418834.53,4439975.39,HA,900230000228468,M1,Detection,1
Shorefox,10/19/2020,12:42:00 PM,418806.32,4439999.67,HA,900230000228473,M1,Detection,1
Shorefox,10/19/2020,12:43:00 PM,418792.23,4440005.37,HA,900230000228454,M1,Detection,1
Shorefox,10/19/2020,12:45:00 PM,418764.17,4440042.75,HA,900230000228471,M1,Detection,1
Shorefox,10/19/2020,12:45:00 PM,418764.22,4440048.3,HA,900230000228485,M1,Detection,1
Shorefox,10/19/2020,12:45:00 PM,418764.24,4440050.07,HA,900230000228481,M1,Detection,1
Shorefox,10/19/2020,12:45:00 PM,418750.12,4440052.11,HA,900230000228498,M1,Detection,1
Shorefox,10/19/2020,12:46:00 PM,418750.14,4440054,HA,900230000228482,M1,Detection,1
Shorefox,10/19/2020,12:46:00 PM,418750.14,4440054,HA,900230000228498,M1,Detection,1
Shorefox,10/19/2020,12:46:00 PM,418750.14,4440054,HA,900230000228482,M1,Detection,1
Shorefox,10/19/2020,12:47:00 PM,418721.97,4440082.05,HA,900230000228453,M1,Detection,1
Shorefox,10/19/2020,12:52:00 PM,418565.6,4440070.74,HA,900230000228462,M1,Detection,1
Shorefox,10/19/2020,12:58:00 PM,418422.73,4439998.24,HA,900230000228411,M1,Detection,1
Shorefox,10/19/2020,1:01:00 PM,418393.55,4439924.62,HA,900230000228405,M1,Detection,1
Shorefox,10/19/2020,1:01:00 PM,418379.3,4439922.89,HA,900230000228325,M1,Detection,1
Shorefox,10/19/2020,1:01:00 PM,418379.28,4439921,HA,900230000228405,M1,Detection,1
Shorefox,10/19/2020,1:01:00 PM,418365.01,4439910.05,HA,900230000228382,M1,Detection,1
Shorefox,10/19/2020,1:02:00 PM,418350.68,4439900.99,HA,900230000228316,M1,Detection,1
Shorefox,10/19/2020,1:07:00 PM,418237.11,4439905.88,HA,900226001581336,M1,Detection,1
Shorefox,10/19/2020,1:08:00 PM,418208.84,4439924.72,HA,900230000228339,M1,Detection,1
Shorefox,10/19/2020,1:09:00 PM,418209.24,4439961.69,HA,900230000228378,M1,Detection,1
Shorefox,10/19/2020,1:09:00 PM,418209.3,4439967.24,HA,900230000228406,M1,Detection,1
Shorefox,10/19/2020,1:09:00 PM,418209.44,4439980.22,HA,900230000228412,M1,Detection,1
Shorefox,10/19/2020,1:09:00 PM,418209.5,4439985.77,HA,900230000228366,M1,Detection,1
Shorefox,10/19/2020,1:10:00 PM,418209.74,4440007.97,HA,900230000228333,M1,Detection,1
Shorefox,10/19/2020,1:13:00 PM,418138.78,4440012.4,HA,900230000228318,M1,Detection,1
Shorefox,10/19/2020,1:18:00 PM,417967.4,4439929.22,HA,900230000228479,M1,Detection,1
Shorefox,10/19/2020,1:20:00 PM,417938.44,4439875.81,HA,900230000228343,M1,Detection,1
Shorefox,10/19/2020,1:27:00 PM,417696.54,4439845.13,HA,900230000228594,M1,Detection,1
Shorefox,10/19/2020,1:52:00 PM,417080.06,4439330.11,HA,900230000228388,M1,Detection,1
